Project ID,Project Name,Number,Street,Borough,Council District,Latitude (Internal),Longitude (Internal),Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,All Counted Units,Total Units
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,77,EAST 4 STREET,Manhattan,2,40.72672,-73.990125,No,Non Prevailing Wage,0,15,15,15
64390,COOPER SQUARE MHA - PHASE 1.GHPP.FY20,13,STANTON STREET,Manhattan,1,40.72239,-73.992363,No,Non Prevailing Wage,3,7,10,10
68530,COOP CITY.HRP.FY20,1,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,52,52,52
68530,COOP CITY.HRP.FY20,121,EINSTEIN LOOP,Bronx,12,40.8648,-73.822878,No,Non Prevailing Wage,0,116,150,150
68530,COOP CITY.HRP.FY20,100,ALCOTT PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,258,384,384
68530,COOP CITY.HRP.FY20,120,ALCOTT PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,261,384,384
68530,COOP CITY.HRP.FY20,140,ALCOTT PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,259,384,384
68530,COOP CITY.HRP.FY20,100,ALDRICH STREET,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,163,207,207
68530,COOP CITY.HRP.FY20,100,ASCH LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,118,175,175
68530,COOP CITY.HRP.FY20,600,BAYCHESTER AVENUE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,168,207,207
68530,COOP CITY.HRP.FY20,900,BAYCHESTER AVENUE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,155,207,207
68530,COOP CITY.HRP.FY20,100,BELLAMY LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,114,175,175
68530,COOP CITY.HRP.FY20,100,BENCHLEY PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,260,384,384
68530,COOP CITY.HRP.FY20,120,BENCHLEY PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,258,384,384
68530,COOP CITY.HRP.FY20,140,BENCHLEY PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,263,384,384
68530,COOP CITY.HRP.FY20,100,CARVER LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,110,175,175
68530,COOP CITY.HRP.FY20,100,CASALS PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,262,384,384
68530,COOP CITY.HRP.FY20,120,CASALS PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,261,384,384
68530,COOP CITY.HRP.FY20,140,CASALS PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,258,384,384
68530,COOP CITY.HRP.FY20,100,CO-OP CITY BOULEVARD,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,155,207,207
68530,COOP CITY.HRP.FY20,900,CO-OP CITY BOULEVARD,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,153,207,207
68530,COOP CITY.HRP.FY20,100,DARROW PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,107,175,175
68530,COOP CITY.HRP.FY20,100,DEBS PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,112,175,175
68530,COOP CITY.HRP.FY20,100,DEKRUIF PLACE WEST,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,264,384,384
68530,COOP CITY.HRP.FY20,120,DEKRUIF PLACE WEST,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,267,384,384
68530,COOP CITY.HRP.FY20,140,DEKRUIF PLACE WEST,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,268,384,384
68530,COOP CITY.HRP.FY20,100,DONIZETTI PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,108,175,175
68530,COOP CITY.HRP.FY20,100,DREISER LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,151,207,207
68530,COOP CITY.HRP.FY20,150,DREISER LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,156,207,207
68530,COOP CITY.HRP.FY20,1A,ASCH LOOP,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,18,18,18
68530,COOP CITY.HRP.FY20,1,BROUN PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,36,36,36
68530,COOP CITY.HRP.FY20,1,DEFOE PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,26,26,26
68530,COOP CITY.HRP.FY20,1A,COOPER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,38,38,38
68530,COOP CITY.HRP.FY20,5,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,119,175,175
68530,COOP CITY.HRP.FY20,11,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,114,175,175
68530,COOP CITY.HRP.FY20,19,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,258,384,384
68530,COOP CITY.HRP.FY20,2,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,0,52,52
68530,COOP CITY.HRP.FY20,3,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,125,175,175
68530,COOP CITY.HRP.FY20,4,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,112,150,150
68530,COOP CITY.HRP.FY20,6,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,119,175,175
68530,COOP CITY.HRP.FY20,7,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,104,150,150
68530,COOP CITY.HRP.FY20,8,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,116,175,175
68530,COOP CITY.HRP.FY20,9,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,122,175,175
68530,COOP CITY.HRP.FY20,10,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,115,175,175
68530,COOP CITY.HRP.FY20,20,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,257,384,384
68530,COOP CITY.HRP.FY20,21,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,260,384,384
68530,COOP CITY.HRP.FY20,17,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,166,207,207
68530,COOP CITY.HRP.FY20,12,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,110,150,150
68530,COOP CITY.HRP.FY20,14,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,167,207,207
68530,COOP CITY.HRP.FY20,13,ADLER PLACE,Bronx,12,40.87501,-73.828362,No,Non Prevailing Wage,0,119,175,175
